epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap,source_file
19,cnn,FashionMNIST,1,42,relu1,2.9624123471851336,0.0747888074231147,0.2965356187820434,0.9728,0.9118,0.0609999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
19,cnn,FashionMNIST,1,42,relu2,1.648252717732314,0.0747888074231147,0.2965356187820434,0.9728,0.9118,0.0609999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
19,cnn,FashionMNIST,1,42,relu3,2.416385027779495,0.0747888074231147,0.2965356187820434,0.9728,0.9118,0.0609999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
20,cnn,FashionMNIST,1,42,relu1,2.951206452536745,0.0659195807147026,0.2966265411376953,0.97592,0.9146,0.06132,cnn_FashionMNIST_seed1_entropy_history.csv
20,cnn,FashionMNIST,1,42,relu2,1.607728401268712,0.0659195807147026,0.2966265411376953,0.97592,0.9146,0.06132,cnn_FashionMNIST_seed1_entropy_history.csv
20,cnn,FashionMNIST,1,42,relu3,2.465784791836389,0.0659195807147026,0.2966265411376953,0.97592,0.9146,0.06132,cnn_FashionMNIST_seed1_entropy_history.csv
21,cnn,FashionMNIST,1,42,relu1,2.9641090877066176,0.0583441024053096,0.3055971950888633,0.97914,0.914,0.0651399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
21,cnn,FashionMNIST,1,42,relu2,1.6176596618022814,0.0583441024053096,0.3055971950888633,0.97914,0.914,0.0651399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
21,cnn,FashionMNIST,1,42,relu3,2.375439951167102,0.0583441024053096,0.3055971950888633,0.97914,0.914,0.0651399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
22,cnn,FashionMNIST,1,42,relu1,2.945318620005561,0.0540760464560985,0.3298786312222481,0.98092,0.9149,0.0660199999999999,cnn_FashionMNIST_seed1_entropy_history.csv
22,cnn,FashionMNIST,1,42,relu2,1.5292677911946162,0.0540760464560985,0.3298786312222481,0.98092,0.9149,0.0660199999999999,cnn_FashionMNIST_seed1_entropy_history.csv
22,cnn,FashionMNIST,1,42,relu3,2.468908761746746,0.0540760464560985,0.3298786312222481,0.98092,0.9149,0.0660199999999999,cnn_FashionMNIST_seed1_entropy_history.csv
23,cnn,FashionMNIST,1,42,relu1,2.892413752650575,0.0476584044086933,0.3154122024536133,0.98238,0.917,0.06538,cnn_FashionMNIST_seed1_entropy_history.csv
23,cnn,FashionMNIST,1,42,relu2,1.6127520056686069,0.0476584044086933,0.3154122024536133,0.98238,0.917,0.06538,cnn_FashionMNIST_seed1_entropy_history.csv
23,cnn,FashionMNIST,1,42,relu3,2.390600511013176,0.0476584044086933,0.3154122024536133,0.98238,0.917,0.06538,cnn_FashionMNIST_seed1_entropy_history.csv
24,cnn,FashionMNIST,1,42,relu1,2.9709932847030376,0.0427853368031978,0.3681014273881912,0.98486,0.9083,0.0765599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
24,cnn,FashionMNIST,1,42,relu2,1.6053991845072988,0.0427853368031978,0.3681014273881912,0.98486,0.9083,0.0765599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
24,cnn,FashionMNIST,1,42,relu3,2.4443951354315723,0.0427853368031978,0.3681014273881912,0.98486,0.9083,0.0765599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
