model,dataset,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,val_generalization_gap_mean,val_generalization_gap_std,n_seeds
cnn,FashionMNIST,14,0.12441183993494505,0.007930217529555335,0.2547238774335384,0.01392136093075917,0.954388,0.0027696064702408506,0.91102,0.00521651224478579,0.04336799999999992,0.003120916532046288,5
cnn,FashionMNIST,15,0.11520649314451215,0.0101809306533775,0.2510831227493286,0.006091857223224902,0.9578519999999999,0.0041141852170265905,0.9147000000000001,0.0024929901724636224,0.04315199999999998,0.00539309929446879,5
cnn,FashionMNIST,16,0.10604823328399653,0.008796112464583682,0.26879644865274427,0.01454652503281088,0.9613479999999999,0.0034371965320591944,0.91214,0.003626706494879332,0.04920799999999994,0.006113274081864785,5
cnn,FashionMNIST,17,0.09638323959422108,0.009343245688025041,0.26102988077640527,0.006991379615497096,0.9646440000000001,0.0037538353719895777,0.9153800000000001,0.0021924871721403444,0.04926399999999996,0.0034346877587343983,5
cnn,FashionMNIST,18,0.08652193423938745,0.008961039326117257,0.27784610034704205,0.009715006505082273,0.9688760000000001,0.0036355027162691253,0.91314,0.0028298409849318354,0.055735999999999966,0.0034434691809278927,5
cnn,FashionMNIST,19,0.0793726504628658,0.00905129561702397,0.2878000190997123,0.012494928256783848,0.9708840000000001,0.00374874378959141,0.9131,0.003595830919273003,0.057783999999999905,0.0035602078591003305,5
cnn,FashionMNIST,20,0.07099114672851557,0.008476633434303497,0.29572619818806645,0.007809415578929452,0.974128,0.003401987654298626,0.91408,0.0022376326776305452,0.060047999999999976,0.0028407956631901652,5
cnn,FashionMNIST,21,0.06445399310660353,0.007442864652843859,0.3005593961858749,0.008807542652447828,0.976548,0.003007942818605461,0.9141199999999999,0.0011122050170719387,0.06242799999999996,0.0026859113909434417,5
cnn,FashionMNIST,22,0.0579864894175529,0.009191904490412038,0.32480028333902355,0.011165991560661805,0.9788920000000001,0.0037779253565945305,0.91318,0.0016649324310613874,0.06571199999999996,0.0029866569940319595,5
cnn,FashionMNIST,23,0.0525814739694595,0.007449230847888963,0.32787215408325193,0.014643833752542112,0.980876,0.0028659169562288505,0.91456,0.0026557484820667787,0.06631599999999997,0.001442872135707126,5
cnn,FashionMNIST,24,0.04697366673040384,0.0072309036356242645,0.35223140668869013,0.022603896315837518,0.9833320000000001,0.0026000230768206457,0.9122,0.00443339598953216,0.07113199999999995,0.005823067919919827,5
cnn,FashionMNIST,25,0.045093483792006915,0.005048158267707877,0.3594592450918257,0.020038333712504252,0.9838760000000001,0.002011934392568505,0.91296,0.0014397916515940538,0.07091599999999995,0.0019784539418444594,5
cnn,FashionMNIST,26,0.0392211665667295,0.006416262723972494,0.3718865409278869,0.022107786192417597,0.986116,0.0025002159906696002,0.9134,0.002783882181415015,0.07271599999999992,0.005065775360199072,5
cnn,FashionMNIST,27,0.03616021989703172,0.005570118813428231,0.37902306785106654,0.018560119702691103,0.987232,0.002193472133399486,0.91418,0.0022884492565927944,0.07305199999999996,0.00364344891551952,5
cnn,FashionMNIST,28,0.03200004381299014,0.005484150115770192,0.3983074543273449,0.01685081488113919,0.9889279999999999,0.001931662496400482,0.91496,0.001644080290010196,0.07396799999999996,0.0030626002024423974,5
cnn,FashionMNIST,29,0.02889529533314698,0.004523121031313331,0.41788388558149336,0.014083071892387252,0.989956,0.0016501757482158827,0.91232,0.002334951819631415,0.07763599999999993,0.0029699966329946913,5
